measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Number,2003,58669.34256757354,59793.258568775986,57451.646174535184
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Percent,2003,0.006238517670624052,0.006356643316164653,0.006117835635108049
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Number,2003,24607.44040565364,24668.783216453143,24549.37288625422
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Percent,2003,0.002616615011954654,0.002629908609825548,0.0026034146863980596
Deaths,Sub-Saharan Africa - WB,Both,All ages,HIV/AIDS,Number,2001,1204667.5858012037,1480954.8932375321,949842.7080059018
Deaths,Sub-Saharan Africa - WB,Both,All ages,HIV/AIDS,Percent,2001,0.13469651715004652,0.1635848032603357,0.10729254515220167
Deaths,Middle East & North Africa - WB,Both,All ages,Tuberculosis,Number,2001,14301.211274638617,21404.900110510414,12116.010947715622
Deaths,Middle East & North Africa - WB,Both,All ages,Tuberculosis,Percent,2001,0.008583849396025812,0.0127826876875021,0.007506502618775213
Deaths,Middle East & North Africa - WB,Both,All ages,HIV/AIDS,Number,2001,2302.2643467869752,2929.960246380918,1793.1584476917849
Deaths,Middle East & North Africa - WB,Both,All ages,HIV/AIDS,Percent,2001,0.0013837037937777783,0.0017739725843018406,0.0010679754679273857
Deaths,South Asia - WB,Both,All ages,Tuberculosis,Number,2001,757532.65000981,823320.1420488468,690145.0351855312
Deaths,South Asia - WB,Both,All ages,Tuberculosis,Percent,2001,0.07000412763770282,0.07572528320302925,0.06447692197947749
Deaths,South Asia - WB,Both,All ages,HIV/AIDS,Number,2001,93139.40008714108,131752.2213906968,64661.20174928773
Deaths,South Asia - WB,Both,All ages,HIV/AIDS,Percent,2001,0.008608621711584342,0.012117233957555405,0.006001563855275389
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Number,2000,60196.026386701946,61392.1437285172,58943.087915828066
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Percent,2000,0.006515712712301054,0.006634773453841445,0.00639203199799245
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Number,2000,23909.639617620527,23964.319373090224,23855.15233854042
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Percent,2000,0.0025880404068556926,0.002599709815458617,0.002574753344127953
Deaths,Latin America & Caribbean - WB,Both,All ages,Tuberculosis,Number,2003,26007.496286654343,29653.30749748626,24460.794563385305
Deaths,Latin America & Caribbean - WB,Both,All ages,Tuberculosis,Percent,2003,0.008644427448581155,0.009868753974002525,0.008179160344734336
Deaths,Latin America & Caribbean - WB,Both,All ages,Tuberculosis,Number,2000,28881.252371765528,32503.628530206035,27379.432320570864
Deaths,Latin America & Caribbean - WB,Both,All ages,Tuberculosis,Percent,2000,0.010064965278054332,0.011321599385166569,0.009600950891597678
Deaths,East Asia & Pacific - WB,Both,All ages,Tuberculosis,Number,2003,364488.17869601224,394936.9271710865,329544.92552536936
Deaths,East Asia & Pacific - WB,Both,All ages,Tuberculosis,Percent,2003,0.02465813307260109,0.026661450738293225,0.02231647017499169
Deaths,East Asia & Pacific - WB,Both,All ages,HIV/AIDS,Number,2003,61259.457771405105,67052.54765713164,55631.51531701931
Deaths,East Asia & Pacific - WB,Both,All ages,HIV/AIDS,Percent,2003,0.004145561680338024,0.004591572442653714,0.003710924938225608
Deaths,Latin America & Caribbean - WB,Both,All ages,HIV/AIDS,Number,2003,52652.42302704447,57754.21428898131,48196.54285656074
Deaths,Latin America & Caribbean - WB,Both,All ages,HIV/AIDS,Percent,2003,0.017502050172321856,0.01921897182667713,0.016065581370069158
Deaths,Sub-Saharan Africa - WB,Both,All ages,HIV/AIDS,Number,2000,1136810.0768632211,1420214.3960571561,881938.0850899103
Deaths,Sub-Saharan Africa - WB,Both,All ages,HIV/AIDS,Percent,2000,0.1278339856298266,0.15684301378964038,0.1004792196288579
Deaths,South Asia - WB,Both,All ages,Tuberculosis,Number,2000,764802.6580368455,832106.7609710863,694404.8045102357
Deaths,South Asia - WB,Both,All ages,Tuberculosis,Percent,2000,0.07087390817439122,0.07692147821438272,0.06455536675810067
Deaths,South Asia - WB,Both,All ages,HIV/AIDS,Number,2000,77590.37840555942,112087.39909674959,53487.16274868822
Deaths,South Asia - WB,Both,All ages,HIV/AIDS,Percent,2000,0.007188920200709017,0.010485756442798285,0.004962156328545139
Deaths,Sub-Saharan Africa - WB,Both,All ages,Tuberculosis,Number,2003,485752.68069209455,572703.2300137527,405778.02779959515
Deaths,Sub-Saharan Africa - WB,Both,All ages,Tuberculosis,Percent,2003,0.05329607397575663,0.0616558055663455,0.04508492313237328
Deaths,Global,Both,All ages,Tuberculosis,Number,2004,1626485.5978949594,1770288.6412230388,1478220.2453552072
Deaths,Global,Both,All ages,Tuberculosis,Percent,2004,0.03122010167434182,0.033598421969919474,0.028425777920183554
Deaths,Global,Both,All ages,HIV/AIDS,Number,2004,1597980.0158848187,1882610.0491251359,1340731.596446898
Deaths,Global,Both,All ages,HIV/AIDS,Percent,2004,0.03067191266756134,0.036137660698073525,0.025650954448518514
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Number,2001,58999.36711827089,60120.52859498207,57795.62123448219
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Percent,2001,0.006387798900061329,0.006502023997120619,0.006265671883404811
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Number,2001,23700.437744473133,23758.78716433834,23650.28293180748
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Percent,2001,0.0025660466484705574,0.002578596968664322,0.0025530662072158023
Deaths,Latin America & Caribbean - WB,Both,All ages,HIV/AIDS,Number,2000,50476.971786766095,55877.89229145116,45716.79036911017
Deaths,Latin America & Caribbean - WB,Both,All ages,HIV/AIDS,Percent,2000,0.01759250225758219,0.019552669939853783,0.01595942310310402
Deaths,Sub-Saharan Africa - WB,Both,All ages,HIV/AIDS,Number,2003,1302017.0900799788,1558710.1250787468,1061243.310763183
Deaths,Sub-Saharan Africa - WB,Both,All ages,HIV/AIDS,Percent,2003,0.1427667062286758,0.16918453991018484,0.11869487522037116
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Number,2005,57399.54939487053,58631.07329761098,56222.190219029966
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Percent,2005,0.006125534687318319,0.006248243263321276,0.005994520768218097
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Number,2005,27875.789592569225,27971.530446641693,27781.89344815653
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Percent,2005,0.0029748564894563714,0.0029919601469207335,0.002957651321343416
Deaths,Middle East & North Africa - WB,Both,All ages,Tuberculosis,Number,2000,14595.0063309459,21949.47387764154,12295.98884105936
Deaths,Middle East & North Africa - WB,Both,All ages,Tuberculosis,Percent,2000,0.008905003993110836,0.013320211225825622,0.007782758369324013
Deaths,Middle East & North Africa - WB,Both,All ages,HIV/AIDS,Number,2000,2022.6924002561702,2587.744801189436,1576.2497697018366
Deaths,Middle East & North Africa - WB,Both,All ages,HIV/AIDS,Percent,2000,0.001235700474798921,0.0015951987822852593,0.0009557625985283712
Deaths,East Asia & Pacific - WB,Both,All ages,Tuberculosis,Number,2001,373939.14055289107,407734.33773150685,336086.9711313607
Deaths,East Asia & Pacific - WB,Both,All ages,Tuberculosis,Percent,2001,0.025995137485490455,0.02813414628893272,0.02358467956632677
Deaths,East Asia & Pacific - WB,Both,All ages,HIV/AIDS,Number,2001,60903.217383039584,65784.28606381493,55589.9230744374
Deaths,East Asia & Pacific - WB,Both,All ages,HIV/AIDS,Percent,2001,0.004235336238813219,0.00461667923118951,0.003831387050623839
Deaths,Sub-Saharan Africa - WB,Both,All ages,Tuberculosis,Number,2000,483250.63973298017,571150.7167036857,407109.75194699434
Deaths,Sub-Saharan Africa - WB,Both,All ages,Tuberculosis,Percent,2000,0.05440359461050279,0.06362725966718989,0.04602114274746567
Deaths,Middle East & North Africa - WB,Both,All ages,Tuberculosis,Number,2003,13755.70955674951,20185.693142821066,11732.005589490158
Deaths,Middle East & North Africa - WB,Both,All ages,Tuberculosis,Percent,2003,0.007802896101288967,0.011470256166108505,0.006814928176391182
Deaths,Middle East & North Africa - WB,Both,All ages,HIV/AIDS,Number,2003,2853.727601486268,3557.619041040299,2293.0847464783124
Deaths,Middle East & North Africa - WB,Both,All ages,HIV/AIDS,Percent,2003,0.0016209766831857487,0.002012425921126593,0.0012777822894542397
Deaths,North America,Both,All ages,Tuberculosis,Number,2000,1380.729844544329,1437.4152097195738,1274.2825963869109
Deaths,North America,Both,All ages,Tuberculosis,Percent,2000,0.0005295523326283007,0.0005517989835025981,0.0004883935144563281
Deaths,North America,Both,All ages,HIV/AIDS,Number,2000,16696.032002185308,16704.377043114004,16687.108760865263
Deaths,North America,Both,All ages,HIV/AIDS,Percent,2000,0.006403460208926526,0.006414305459335518,0.0063915636343218835
Deaths,Global,Both,All ages,Tuberculosis,Number,2005,1612717.9479416574,1740458.8154773964,1470574.2008702813
Deaths,Global,Both,All ages,Tuberculosis,Percent,2005,0.03091863490768385,0.03311223412660475,0.028105466612696566
Deaths,Global,Both,All ages,HIV/AIDS,Number,2005,1575235.6957895749,1831396.070417817,1347788.3812871252
Deaths,Global,Both,All ages,HIV/AIDS,Percent,2005,0.030200333483353905,0.035404252074014195,0.025811362870360025
Deaths,Global,Both,All ages,Tuberculosis,Number,2006,1585019.587699844,1710809.6447134253,1449315.3041679857
Deaths,Global,Both,All ages,Tuberculosis,Percent,2006,0.03067873514607924,0.03290510759652969,0.028046844611727892
Deaths,Global,Both,All ages,HIV/AIDS,Number,2006,1517458.8882875599,1751697.1666958567,1321585.6378229738
Deaths,Global,Both,All ages,HIV/AIDS,Percent,2006,0.029370500841597938,0.03400202484519166,0.0256435421603798
Deaths,South Asia - WB,Both,All ages,Tuberculosis,Number,2003,720972.1442297909,774786.7048701238,656843.9494347351
Deaths,South Asia - WB,Both,All ages,Tuberculosis,Percent,2003,0.06628558350205048,0.07141110101706832,0.061106187729217054
Deaths,South Asia - WB,Both,All ages,HIV/AIDS,Number,2003,119373.6733259355,162521.71695787148,83981.31397972508
Deaths,South Asia - WB,Both,All ages,HIV/AIDS,Percent,2003,0.01097802278737163,0.014798833156444145,0.0077273201601148166
Deaths,Latin America & Caribbean - WB,Both,All ages,Tuberculosis,Number,2001,27656.793195383634,31284.52756441891,26115.877173134966
Deaths,Latin America & Caribbean - WB,Both,All ages,Tuberculosis,Percent,2001,0.009518030169111468,0.010782032847040164,0.009061848016081142
Deaths,Global,Both,All ages,Tuberculosis,Number,2008,1518916.5252764923,1631289.3631487049,1395287.9596202865
Deaths,Global,Both,All ages,Tuberculosis,Percent,2008,0.02894014887005875,0.0307460422393724,0.02664413890596891
Deaths,Global,Both,All ages,HIV/AIDS,Number,2008,1345087.9634531206,1544406.4784345047,1201984.5642543111
Deaths,Global,Both,All ages,HIV/AIDS,Percent,2008,0.02562985817483613,0.029329100360641295,0.022907472583903923
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Number,2004,56532.402000438735,57586.78893525773,55404.81484438335
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Percent,2004,0.00610428141430075,0.006215645394102291,0.00599003268982524
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Number,2004,24960.54068016395,25026.393879347306,24902.447913009713
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Percent,2004,0.0026952184785541443,0.002709398618544589,0.0026823274605753088
Deaths,East Asia & Pacific - WB,Both,All ages,Tuberculosis,Number,2005,347139.0756689426,372133.3069466183,314488.95452145976
Deaths,East Asia & Pacific - WB,Both,All ages,Tuberculosis,Percent,2005,0.022974362924088325,0.024436715724426548,0.02087615309562827
Deaths,East Asia & Pacific - WB,Both,All ages,HIV/AIDS,Number,2005,67080.21312265597,74135.43905494137,60302.88740376512
Deaths,East Asia & Pacific - WB,Both,All ages,HIV/AIDS,Percent,2005,0.004441135485854172,0.004949526483316986,0.0039445359668511745
Deaths,Latin America & Caribbean - WB,Both,All ages,HIV/AIDS,Number,2001,51713.14487303956,57049.69516763648,47049.77009470203
Deaths,Latin America & Caribbean - WB,Both,All ages,HIV/AIDS,Percent,2001,0.017798705999128875,0.01967452651059844,0.016248824014555623
Deaths,Latin America & Caribbean - WB,Both,All ages,Tuberculosis,Number,2005,23951.538970901445,27847.19579605538,22573.018147959985
Deaths,Latin America & Caribbean - WB,Both,All ages,Tuberculosis,Percent,2005,0.007841425533776016,0.009105345533158048,0.007444544922643178
Deaths,Global,Both,All ages,Tuberculosis,Number,2007,1546823.0899314012,1659801.495816576,1414756.176213566
Deaths,Global,Both,All ages,Tuberculosis,Percent,2007,0.02986674126305864,0.03170471058330477,0.02729927445282993
Deaths,Global,Both,All ages,HIV/AIDS,Number,2007,1431477.5779140901,1643827.0459981174,1268359.5078087437
Deaths,Global,Both,All ages,HIV/AIDS,Percent,2007,0.027640647448098916,0.03183102491394594,0.024488213655410696
Deaths,North America,Both,All ages,Tuberculosis,Number,2003,1146.9628553102164,1196.5774645062243,1061.563046065447
Deaths,North America,Both,All ages,Tuberculosis,Percent,2003,0.00043173560955320266,0.00045036976235836854,0.00039949184400344274
Deaths,North America,Both,All ages,HIV/AIDS,Number,2003,15605.61589607978,15612.488209739506,15598.620735441315
Deaths,North America,Both,All ages,HIV/AIDS,Percent,2003,0.0058742106241097694,0.005884939426809558,0.005862876165940549
Deaths,Latin America & Caribbean - WB,Both,All ages,HIV/AIDS,Number,2005,51483.514833377725,56004.47406134242,47885.43462449361
Deaths,Latin America & Caribbean - WB,Both,All ages,HIV/AIDS,Percent,2005,0.01685649269711568,0.018311088717743677,0.01567626816047045
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Number,2006,51952.28716955253,53058.82358926874,50832.096249352806
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Percent,2006,0.005682248771257874,0.0057918037228769275,0.005564316581832564
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Number,2006,28302.179923858435,28397.473674099492,28218.10142309673
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Percent,2006,0.0030955611589425546,0.0031116879388591507,0.0030777885253689507
Deaths,Sub-Saharan Africa - WB,Both,All ages,HIV/AIDS,Number,2005,1273214.8381827145,1486446.459570134,1086686.1635187892
Deaths,Sub-Saharan Africa - WB,Both,All ages,HIV/AIDS,Percent,2005,0.14064293197065755,0.16267061981984432,0.12092950108058165
Deaths,North America,Both,All ages,Tuberculosis,Number,2005,1011.1424820047948,1056.5168335668006,933.8440284216953
Deaths,North America,Both,All ages,Tuberculosis,Percent,2005,0.00038054395775890534,0.0003973751781334236,0.00035125221768947905
Deaths,North America,Both,All ages,HIV/AIDS,Number,2005,14383.070431927932,14389.629827601473,14377.328726762771
Deaths,North America,Both,All ages,HIV/AIDS,Percent,2005,0.0054130704491718,0.005422992133143229,0.005403359548606401
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Number,2008,47077.85685359832,48056.12465907678,46059.57524144699
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Percent,2008,0.005144758966563218,0.005245258069492198,0.005039466858984059
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Number,2008,29946.214374007846,30051.934946085024,29844.173928071963
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Percent,2008,0.003272598888592005,0.0032903913514143704,0.0032545329355102228
Deaths,Sub-Saharan Africa - WB,Both,All ages,Tuberculosis,Number,2005,481177.55925799004,559718.6496651282,405081.280924604
Deaths,Sub-Saharan Africa - WB,Both,All ages,Tuberculosis,Percent,2005,0.05316103151213515,0.06068419115010928,0.04498274715405641
Deaths,East Asia & Pacific - WB,Both,All ages,Tuberculosis,Number,2004,357993.4786838473,387531.1456692053,323069.8994537182
Deaths,East Asia & Pacific - WB,Both,All ages,Tuberculosis,Percent,2004,0.02347956342699101,0.02534911284884065,0.021486218762158563
Deaths,East Asia & Pacific - WB,Both,All ages,HIV/AIDS,Number,2004,63648.07739836603,70083.08003252746,56929.768785820605
Deaths,East Asia & Pacific - WB,Both,All ages,HIV/AIDS,Percent,2004,0.004175906857760867,0.004627993983412504,0.0037043493068645702
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Number,2007,48855.40163269272,49828.26987276919,47786.11542930264
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Percent,2007,0.005370042479655545,0.0054714536622943715,0.005256088171028677
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Number,2007,29109.500339548576,29198.61762245384,29026.487459226908
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Percent,2007,0.003199654731183208,0.0032168579550475016,0.003182596711865465
Deaths,Sub-Saharan Africa - WB,Both,All ages,HIV/AIDS,Number,2004,1307124.9925952856,1544270.175803007,1089759.465699809
Deaths,Sub-Saharan Africa - WB,Both,All ages,HIV/AIDS,Percent,2004,0.1432515875956879,0.167152700237687,0.12056843257811622
Deaths,Middle East & North Africa - WB,Both,All ages,Tuberculosis,Number,2005,13482.705629194805,19866.956496234758,11377.421397103037
Deaths,Middle East & North Africa - WB,Both,All ages,Tuberculosis,Percent,2005,0.007584178426169604,0.011142458804342928,0.006589883469700348
Deaths,Middle East & North Africa - WB,Both,All ages,HIV/AIDS,Number,2005,3131.442845740261,3891.1968619588547,2555.9761419600513
Deaths,Middle East & North Africa - WB,Both,All ages,HIV/AIDS,Percent,2005,0.001764390636268324,0.0022148703058235547,0.0014040693595772315
Deaths,South Asia - WB,Both,All ages,Tuberculosis,Number,2005,687628.2197140108,744489.6549911796,635421.818232625
Deaths,South Asia - WB,Both,All ages,Tuberculosis,Percent,2005,0.062127742447004676,0.06664685166147254,0.057423431419594995
Deaths,South Asia - WB,Both,All ages,HIV/AIDS,Number,2005,136843.17244366722,178979.46183677975,99740.49802111686
Deaths,South Asia - WB,Both,All ages,HIV/AIDS,Percent,2005,0.012365595139661336,0.01619327938732011,0.009028427771058434
Deaths,Global,Both,All ages,Tuberculosis,Number,2009,1467795.416798308,1575250.7354354819,1357904.2634361777
Deaths,Global,Both,All ages,Tuberculosis,Percent,2009,0.0279877418205831,0.029843847789779613,0.02598150037044671
Deaths,Global,Both,All ages,HIV/AIDS,Number,2009,1264019.8877056185,1450565.2959398397,1132343.2201171126
Deaths,Global,Both,All ages,HIV/AIDS,Percent,2009,0.024104342547780808,0.027723746989953054,0.021480961568952375
Deaths,North America,Both,All ages,Tuberculosis,Number,2004,1049.667445499151,1096.552956687877,968.3751482431923
Deaths,North America,Both,All ages,Tuberculosis,Percent,2004,0.0003989820617411819,0.0004166089174605534,0.000368114111547299
Deaths,North America,Both,All ages,HIV/AIDS,Number,2004,15019.473171671394,15025.53161934132,15012.971460120647
Deaths,North America,Both,All ages,HIV/AIDS,Percent,2004,0.00570895950602723,0.005719210612043234,0.005698957618716911
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Number,2010,40619.30023287715,41441.30621019099,39822.63356421147
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Percent,2010,0.004491375427536191,0.00457810545860949,0.004400690187231834
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Number,2010,30472.33955144422,30549.219300145414,30397.524495244834
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Percent,2010,0.003369419819792752,0.0033858919699692185,0.003352068651172026
Deaths,Middle East & North Africa - WB,Both,All ages,Tuberculosis,Number,2004,13538.652692080834,19945.769354115746,11467.006031142706
Deaths,Middle East & North Africa - WB,Both,All ages,Tuberculosis,Percent,2004,0.007724937617783597,0.011304535053535717,0.006726591149127531
Deaths,Middle East & North Africa - WB,Both,All ages,HIV/AIDS,Number,2004,2934.8582167409595,3650.750917774554,2386.907183210254
Deaths,Middle East & North Africa - WB,Both,All ages,HIV/AIDS,Percent,2004,0.0016770979474711165,0.00210333843031051,0.001326312577916693
Deaths,East Asia & Pacific - WB,Both,All ages,Tuberculosis,Number,2006,331581.7648161823,356348.7590467997,303833.81051459647
Deaths,East Asia & Pacific - WB,Both,All ages,Tuberculosis,Percent,2006,0.022412203698414335,0.023891462882571466,0.02049648420498817
Deaths,East Asia & Pacific - WB,Both,All ages,HIV/AIDS,Number,2006,69363.72175139266,76458.50698587029,63916.32706845966
Deaths,East Asia & Pacific - WB,Both,All ages,HIV/AIDS,Percent,2006,0.004689473122593261,0.00518509545346303,0.004269464836721573
Deaths,Latin America & Caribbean - WB,Both,All ages,Tuberculosis,Number,2004,24939.59778659043,28660.278647875624,23468.382181814308
Deaths,Latin America & Caribbean - WB,Both,All ages,Tuberculosis,Percent,2004,0.008200862560414158,0.009433295325857452,0.007762008280198297
Deaths,Global,Both,All ages,Tuberculosis,Number,2010,1428027.52219322,1536562.2377847745,1325085.3470157736
Deaths,Global,Both,All ages,Tuberculosis,Percent,2010,0.0269065977360628,0.028682440551927268,0.025137382424047096
Deaths,Global,Both,All ages,HIV/AIDS,Number,2010,1190882.5720747195,1369007.0909062757,1066436.4324174463
Deaths,Global,Both,All ages,HIV/AIDS,Percent,2010,0.02244077647427506,0.02573658601386994,0.020110798241071384
Deaths,Global,Both,All ages,Tuberculosis,Number,2011,1397925.6010652273,1503168.7329723116,1294822.2339715278
Deaths,Global,Both,All ages,Tuberculosis,Percent,2011,0.026271852477572157,0.02788331519729611,0.02456889139157641
Deaths,Global,Both,All ages,HIV/AIDS,Number,2011,1122120.4506923868,1289521.2610057436,1004237.8763947729
Deaths,Global,Both,All ages,HIV/AIDS,Percent,2011,0.021091921580877256,0.024331678000782578,0.01889144502781441
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Number,2009,43123.05936768673,43911.30869563128,42286.077444390394
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Percent,2009,0.004773579696475673,0.004866301690893103,0.004676017019870374
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Number,2009,29970.901272278945,30058.77636848316,29889.482552752677
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Percent,2009,0.0033176982852188104,0.003334050956436124,0.0033022604836024576
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Number,2012,34746.129314507394,35443.23053304401,33951.95466568788
Deaths,Europe & Central Asia - WB,Both,All ages,Tuberculosis,Percent,2012,0.0038837355377155077,0.003956309099530055,0.0037989215656987377
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Number,2012,31271.499039514834,31337.712968789925,31211.053862642544
Deaths,Europe & Central Asia - WB,Both,All ages,HIV/AIDS,Percent,2012,0.0034953808239239614,0.0035126525549150833,0.003477246887810012
Deaths,Latin America & Caribbean - WB,Both,All ages,HIV/AIDS,Number,2004,52536.153596307755,57461.57845581017,48321.6355022817
Deaths,Latin America & Caribbean - WB,Both,All ages,HIV/AIDS,Percent,2004,0.017276873368237307,0.01886520855055439,0.01589896858353801
Deaths,South Asia - WB,Both,All ages,Tuberculosis,Number,2004,686511.1989995603,744226.4221716226,627386.3260987423
Deaths,South Asia - WB,Both,All ages,Tuberculosis,Percent,2004,0.06256661930174294,0.06726199909055049,0.05746064783935158
Deaths,South Asia - WB,Both,All ages,HIV/AIDS,Number,2004,130462.91888135293,174107.87637482255,93382.87391537384
Deaths,South Asia - WB,Both,All ages,HIV/AIDS,Percent,2004,0.011894653803788067,0.01571111312022679,0.008435735582815676
Deaths,Sub-Saharan Africa - WB,Both,All ages,Tuberculosis,Number,2007,469309.8510066252,544413.4947844383,387540.8387263004
Deaths,Sub-Saharan Africa - WB,Both,All ages,Tuberculosis,Percent,2007,0.05300490357659026,0.060457770440530044,0.04437323093285765
Deaths,Sub-Saharan Africa - WB,Both,All ages,HIV/AIDS,Number,2007,1128628.0675827542,1300258.9952391782,1000796.9943422307
Deaths,Sub-Saharan Africa - WB,Both,All ages,HIV/AIDS,Percent,2007,0.12750386202909667,0.14560303895382026,0.11280226855988412
Deaths,Sub-Saharan Africa - WB,Both,All ages,HIV/AIDS,Number,2006,1210773.1621553474,1402106.418294233,1057711.6154559676
Deaths,Sub-Saharan Africa - WB,Both,All ages,HIV/AIDS,Percent,2006,0.13507814226423806,0.15581054190147653,0.11761974432729613
Deaths,Global,Both,All ages,Tuberculosis,Number,2013,1349391.3606834996,1436673.7614776283,1263249.5175957195
Deaths,Global,Both,All ages,Tuberculosis,Percent,2013,0.02509929336734581,0.0263974040912668,0.023704370230557995
Deaths,Global,Both,All ages,HIV/AIDS,Number,2013,980400.6227909022,1120897.8179024262,885723.628739813
Deaths,Global,Both,All ages,HIV/AIDS,Percent,2013,0.018238658564247584,0.021034754350728033,0.01651057944740813
Deaths,Global,Both,All ages,Tuberculosis,Number,2012,1366247.3853888176,1461765.94304579,1275876.6338258714
Deaths,Global,Both,All ages,Tuberculosis,Percent,2012,0.02563589221763459,0.02703884571209207,0.023998530621450274
